number_of_papers,number_of_raters,number_of_raters_per_paper,latent_outcome_correlation,scenario_label,human_human_agreement,ai_human_agreement,human_human_cosine,ai_human_cosine,intercept_agreement_logit,agreement_comparison_effect_logit,intercept_cosine_logit,cosine_comparison_effect_logit,true_agreement_deficit,true_cosine_deficit,random_effect_rater,random_effect_dimension,random_effect_paper,number_of_simulations,seed,simulation_output
100,7,2,0.6,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
100,7,2,0.8,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
100,7,2,0.8,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
100,7,2,0.8,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
100,7,2,0.8,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
100,7,3,0.6,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
100,7,3,0.6,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
100,7,3,0.6,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
100,7,3,0.6,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
100,7,3,0.8,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
100,7,3,0.8,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
100,7,3,0.8,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
100,7,3,0.8,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,5,2,0.6,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,5,2,0.6,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,5,2,0.6,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,5,2,0.6,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,5,2,0.8,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,5,2,0.8,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,5,2,0.8,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,5,2,0.8,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,5,3,0.6,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,5,3,0.6,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,5,3,0.6,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,5,3,0.6,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,5,3,0.8,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,5,3,0.8,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,5,3,0.8,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,5,3,0.8,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,7,2,0.6,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,7,2,0.6,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,7,2,0.6,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,7,2,0.6,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,7,2,0.8,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,7,2,0.8,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,7,2,0.8,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,7,2,0.8,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,7,3,0.6,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,7,3,0.6,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,7,3,0.6,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,7,3,0.6,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
150,7,3,0.8,high_and_inferior,0.8,0.7,0.6,0.5,1.3862943611198908,-0.5389965007326873,0.4054651081081642,-0.4054651081081642,0.10000000000000009,0.09999999999999998,0.3,0.25,0.4,1000,123,
150,7,3,0.8,high_and_noninferior,0.8,0.75,0.6,0.55,1.3862943611198908,-0.287682072451781,0.4054651081081642,-0.2047944126460128,0.050000000000000044,0.04999999999999993,0.3,0.25,0.4,1000,123,
150,7,3,0.8,low_and_noninferior,0.7,0.6,0.4,0.3,0.8472978603872034,-0.44183275227903923,-0.4054651081081643,-0.4418327522790393,0.09999999999999998,0.10000000000000003,0.3,0.25,0.4,1000,123,
150,7,3,0.8,low_and_noninferior,0.7,0.65,0.4,0.35,0.8472978603872034,-0.22825865198097983,-0.4054651081081643,-0.21357410029805923,0.04999999999999993,0.050000000000000044,0.3,0.25,0.4,1000,123,
